account_name,poker,pkrdac
dylanhill222,6.3626 POKER,6.3626 PKRDAC
duskagain111,21.9041 POKER,21.9041 PKRDAC
dzmqianbao11,2.1898 POKER,2.1898 PKRDAC
eblock111111,36.0000 POKER,36.0000 PKRDAC
eaglesflysky,1.0991 POKER,1.0991 PKRDAC
eater.game,1.0077 POKER,1.0077 PKRDAC
dumplayer332,20187.7218 POKER,20187.7218 PKRDAC
edenbiubiubi,8.6260 POKER,8.6260 PKRDAC
ecapita44eos,2830.3478 POKER,2830.3478 PKRDAC
edenwinworld,8.4000 POKER,8.4000 PKRDAC
edwardliu111,5634.9781 POKER,5634.9781 PKRDAC
eeeeeeeeeeeo,1.0750 POKER,1.0750 PKRDAC
educryptosbr,1039.1063 POKER,1039.1063 PKRDAC
eeeexxxxeeee,1.8166 POKER,1.8166 PKRDAC
edtom11ateos,3.9472 POKER,3.9472 PKRDAC
educatedbets,358.1254 POKER,358.1254 PKRDAC
effortlessly,1.0000 POKER,1.0000 PKRDAC
ejowoforreal,5.0001 POKER,5.0001 PKRDAC
eee122222222,6.1366 POKER,6.1366 PKRDAC
eeeooossslee,4.1695 POKER,4.1695 PKRDAC
elcadnwlsaa1,349.9406 POKER,349.9406 PKRDAC
emekacollins,6.2358 POKER,6.2358 PKRDAC
elizabethann,10.4596 POKER,10.4596 PKRDAC
emekasegun12,5.0001 POKER,5.0001 PKRDAC
elkholtim123,1.0000 POKER,1.0000 PKRDAC
emmanueleze1,5.0000 POKER,5.0000 PKRDAC
elmineault55,18734.1679 POKER,18734.1679 PKRDAC
emmailoveyou,634.5963 POKER,634.5963 PKRDAC
enterpriseos,3.7516 POKER,3.7516 PKRDAC
endlessmemes,7.9500 POKER,7.9500 PKRDAC
enginwgirgin,1.0810 POKER,1.0810 PKRDAC
enterthegame,273.0946 POKER,273.0946 PKRDAC
eos11michael,1.2125 POKER,1.2125 PKRDAC
eos13.e,1.3624 POKER,1.3624 PKRDAC
eos131412345,10.7833 POKER,10.7833 PKRDAC
eos123521123,6.6600 POKER,6.6600 PKRDAC
eos123451122,1.1044 POKER,1.1044 PKRDAC
eos3tian3mmm,1.7458 POKER,1.7458 PKRDAC
eos,28.9438 POKER,28.9438 PKRDAC
eos2mypocket,5.4322 POKER,5.4322 PKRDAC
eos555111555,1.4500 POKER,1.4500 PKRDAC
eos555444123,1.1542 POKER,1.1542 PKRDAC
eos555ref111,26.7715 POKER,26.7715 PKRDAC
eos555544444,1455.3964 POKER,1455.3964 PKRDAC
eosadioskim1,1.0427 POKER,1.0427 PKRDAC
eos555555551,3.1711 POKER,3.1711 PKRDAC
eos5dloveall,11146.7384 POKER,11146.7384 PKRDAC
eosalialieos,80.0164 POKER,80.0164 PKRDAC
eosaccsignup,2.4252 POKER,2.4252 PKRDAC
eosaccount32,1.9146 POKER,1.9146 PKRDAC
eosapreacher,17.1850 POKER,17.1850 PKRDAC
eosbaby12345,4.8235 POKER,4.8235 PKRDAC
eosbasicsng5,5.0001 POKER,5.0001 PKRDAC
eosbetdicerf,9.6875 POKER,9.6875 PKRDAC
eosbartolini,543.3862 POKER,543.3862 PKRDAC
eosbusiness1,1.2543 POKER,1.2543 PKRDAC
